,count,mean,std,min,25%,50%,75%,max
nrem_first_half_sdnn_mean_ms,211.0,45.58761636966823,24.646501071083883,15.30777,29.945261000000002,39.472438,49.423546,164.145307
nrem_first_half_sdnn_median_ms,211.0,43.378371071090044,25.58785168709507,14.368206,28.1606255,36.531126,48.132196,163.162799
nrem_first_half_lf_ms2,211.0,1019.5141460805689,1803.1084488127706,21.752013,246.5771075,420.055068,992.5743195,11896.034377
nrem_first_half_lf_fixed_median_ms2,211.0,778.5224926919432,1568.249992839344,19.950809,134.46577,253.328341,659.0917354999999,10813.414161
nrem_first_half_hf_ms2,211.0,458.32265205213275,898.5815554484998,36.276033,127.9919185,211.716174,399.169189,8788.38629
nrem_first_half_hf_fixed_median_ms2,211.0,354.36172346919443,723.469349295142,34.258051,79.862581,139.517098,304.16435,5143.503064
nrem_first_half_lf_hf_ratio,211.0,3.337376165876777,3.03712277514766,0.131597,1.4924265,2.322574,4.0785035,17.738643
nrem_first_half_lf_hf_fixed_mean,211.0,3.337376165876777,3.03712277514766,0.131597,1.4924265,2.322574,4.0785035,17.738643
nrem_first_half_lf_hf_fixed_median,211.0,2.572147431279621,2.608441079067625,0.102081,1.0652110000000001,1.703012,3.075723,16.233301
nrem_first_half_lf_hf_fixed_n_windows_valid,211.0,62.345971563981045,19.799921124882502,1.0,51.0,64.0,74.0,112.0
nrem_first_half_lf_hf_fixed_valid_min,211.0,124.69194312796209,39.599842249765004,2.0,102.0,128.0,148.0,224.0
nrem_second_half_rmssd_mean_ms,211.0,37.78536351184834,25.262941826385067,20.149706,25.4769485,30.71415,37.8831805,232.838968
nrem_second_half_rmssd_median_ms,210.0,36.876691085714285,25.433928859672957,19.77579,25.191505749999997,29.878721499999997,36.80201075,226.19709
nrem_second_half_sdnn_mean_ms,211.0,47.311126312796205,26.232456569368015,15.323956,32.65047,40.069881,57.4218595,250.655977
nrem_second_half_sdnn_median_ms,211.0,43.75971999052133,26.593637477447817,14.539572,28.712108999999998,35.577469,52.606932,250.501657
nrem_second_half_lf_ms2,209.0,894.3454428421053,1456.6600730874932,35.847201,246.175705,412.216783,855.23504,10172.109483
nrem_second_half_lf_fixed_median_ms2,209.0,641.8361611961723,1273.0686283336852,15.311631,139.790776,265.121022,573.454691,9680.757887
nrem_second_half_hf_ms2,209.0,450.7568376794258,775.2342570396852,31.571473,134.369435,209.457808,460.636436,6387.701949
nrem_second_half_hf_fixed_median_ms2,209.0,359.9847407320574,735.4722854233736,27.948949,92.141743,144.848658,278.363664,6136.791964
nrem_second_half_lf_hf_ratio,209.0,2.7365350000000004,2.1445947712505755,0.223809,1.348869,2.239195,3.273402,12.790494
nrem_second_half_lf_hf_fixed_mean,209.0,2.7365350000000004,2.1445947712505755,0.223809,1.348869,2.239195,3.273402,12.790494
nrem_second_half_lf_hf_fixed_median,209.0,2.0880366985645935,1.7936955212615866,0.13102,0.916818,1.564162,2.5314,12.884621
nrem_second_half_lf_hf_fixed_n_windows_valid,211.0,52.55924170616114,19.70110094562919,0.0,39.5,54.0,65.0,112.0
nrem_second_half_lf_hf_fixed_valid_min,211.0,105.11848341232228,39.40220189125838,0.0,79.0,108.0,130.0,224.0
aux_rows,213.0,28496.44600938967,3627.824761887968,16085.0,25950.0,28544.0,31038.0,35999.0
desat_n,213.0,1419.9014084507041,1749.963060162119,0.0,186.0,720.0,2001.0,10733.0
desat_pct,213.0,5.003286384976525,6.282090333642904,0.0,0.7,2.6,6.7,36.5
evt_central_3_n,213.0,7.408450704225352,13.179720125570206,0.0,0.0,3.0,8.0,96.0
evt_central_3_pct,213.0,0.01643192488262911,0.054620831213095106,0.0,0.0,0.0,0.0,0.4
evt_obstructive_3_n,213.0,82.37089201877934,77.02283720180426,3.0,26.0,62.0,112.0,466.0
evt_obstructive_3_pct,213.0,0.28873239436619724,0.2705075396228816,0.0,0.1,0.2,0.4,1.3
evt_unclassified_3_n,213.0,0.704225352112676,4.456480439903336,0.0,0.0,0.0,0.0,57.0
evt_unclassified_3_pct,213.0,0.0014084507042253524,0.015292349917020167,0.0,0.0,0.0,0.0,0.2
sleep_included_n,213.0,19643.469483568075,3722.733563418938,0.0,17420.0,19440.0,21703.0,29098.0
